Node,X,Y,U1,U2,S11,S22,S12
3.300000000000000000e+01,3.200000047683715820e+00,0.000000000000000000e+00,7.550338132489287091e-09,3.622857791540923245e-09,4.916109085083007812e+00,1.406924519687891006e-02,-2.065677568316459656e-02
3.400000000000000000e+01,3.299999952316284180e+00,0.000000000000000000e+00,7.784553446299469215e-09,3.777732349163898107e-09,4.922795772552490234e+00,1.427458412945270538e-02,-2.066192962229251862e-02
3.500000000000000000e+01,3.400000095367431641e+00,0.000000000000000000e+00,8.019065411701831181e-09,3.937079107174668025e-09,4.929089546203613281e+00,1.446464005857706070e-02,-2.065426856279373169e-02
3.600000000000000000e+01,3.500000000000000000e+00,0.000000000000000000e+00,8.253856265127978986e-09,4.100932038397786528e-09,4.935002326965332031e+00,1.464049331843852997e-02,-2.063586376607418060e-02
3.700000000000000000e+01,3.599999904632568359e+00,0.000000000000000000e+00,8.488908243009518628e-09,4.269323561345572671e-09,4.940546512603759766e+00,1.480305753648281097e-02,-2.060873806476593018e-02
3.800000000000000000e+01,3.700000047683715820e+00,0.000000000000000000e+00,8.724206246313315205e-09,4.442282985905876558e-09,4.945736408233642578e+00,1.495322026312351227e-02,-2.057453803718090057e-02
3.900000000000000000e+01,3.799999952316284180e+00,0.000000000000000000e+00,8.959732511470974714e-09,4.619834736985239942e-09,4.950585842132568359e+00,1.509185228496789932e-02,-2.053457871079444885e-02
4.000000000000000000e+01,3.900000095367431641e+00,0.000000000000000000e+00,9.195473715806201653e-09,4.802002795400994728e-09,4.955109596252441406e+00,1.521967258304357529e-02,-2.049024589359760284e-02
4.100000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,9.431412095750602020e-09,4.988806256989164467e-09,4.959322452545166016e+00,1.533746439963579178e-02,-2.044244855642318726e-02
4.200000000000000000e+01,4.099999904632568359e+00,0.000000000000000000e+00,9.667536104984719714e-09,5.180264217585772712e-09,4.963239192962646484e+00,1.544586848467588425e-02,-2.039222419261932373e-02
4.300000000000000000e+01,4.199999809265136719e+00,0.000000000000000000e+00,9.903831532653839531e-09,5.376392664402374066e-09,4.966874599456787109e+00,1.554554142057895660e-02,-2.034032531082630157e-02
4.400000000000000000e+01,4.300000190734863281e+00,0.000000000000000000e+00,1.014028772061692507e-08,5.577206696472103431e-09,4.970243453979492188e+00,1.563705131411552429e-02,-2.028748206794261932e-02
4.500000000000000000e+01,4.400000095367431641e+00,0.000000000000000000e+00,1.037688956984084143e-08,5.782717416025207058e-09,4.973360061645507812e+00,1.572103984653949738e-02,-2.023406140506267548e-02
4.600000000000000000e+01,4.500000000000000000e+00,0.000000000000000000e+00,1.061362731036297191e-08,5.992936813470350899e-09,4.976238727569580078e+00,1.579796336591243744e-02,-2.018077671527862549e-02
4.700000000000000000e+01,4.599999904632568359e+00,0.000000000000000000e+00,1.085049028404228011e-08,6.207874214680941805e-09,4.978893280029296875e+00,1.586834527552127838e-02,-2.012796886265277863e-02
4.800000000000000000e+01,4.699999809265136719e+00,0.000000000000000000e+00,1.108746872091614932e-08,6.427539389619596477e-09,4.981337070465087891e+00,1.593265868723392487e-02,-2.007598057389259338e-02
4.900000000000000000e+01,4.800000190734863281e+00,0.000000000000000000e+00,1.132455462737880225e-08,6.651939887802882367e-09,4.983582973480224609e+00,1.599130965769290924e-02,-2.002515643835067749e-02
5.000000000000000000e+01,4.900000095367431641e+00,0.000000000000000000e+00,1.156173734528920249e-08,6.881080594212107826e-09,4.985643386840820312e+00,1.604478992521762848e-02,-1.997551880776882172e-02
5.100000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.179900888104157275e-08,7.114968170185420604e-09,4.987530708312988281e+00,1.609341241419315338e-02,-1.992747932672500610e-02
5.200000000000000000e+01,5.099999904632568359e+00,0.000000000000000000e+00,1.203636124103013572e-08,7.353607944793338902e-09,4.989256381988525391e+00,1.613757200539112091e-02,-1.988111436367034912e-02
5.300000000000000000e+01,5.199999809265136719e+00,0.000000000000000000e+00,1.227378820800595349e-08,7.597003914838751371e-09,4.990830898284912109e+00,1.617760956287384033e-02,-1.983653195202350616e-02
5.400000000000000000e+01,5.300000190734863281e+00,0.000000000000000000e+00,1.251128445289850788e-08,7.845160077124546660e-09,4.992265224456787109e+00,1.621381565928459167e-02,-1.979387551546096802e-02
5.500000000000000000e+01,5.400000095367431641e+00,0.000000000000000000e+00,1.274884109392360187e-08,8.098077763918354322e-09,4.993569850921630859e+00,1.624656468629837036e-02,-1.975298486649990082e-02
5.600000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,1.298645457836755668e-08,8.355761416112272855e-09,4.994753837585449219e+00,1.627606526017189026e-02,-1.971412077546119690e-02
5.700000000000000000e+01,5.599999904632568359e+00,0.000000000000000000e+00,1.322411780080301469e-08,8.618211921884721960e-09,4.995825767517089844e+00,1.630260795354843140e-02,-1.967721991240978241e-02
5.800000000000000000e+01,5.699999809265136719e+00,0.000000000000000000e+00,1.346182632033787741e-08,8.885431057592541038e-09,4.996794700622558594e+00,1.632643677294254303e-02,-1.964227668941020966e-02
5.900000000000000000e+01,5.800000190734863281e+00,0.000000000000000000e+00,1.369957836061530543e-08,9.157421487770989188e-09,4.997668743133544922e+00,1.634774915874004364e-02,-1.960933208465576172e-02
6.000000000000000000e+01,5.900000095367431641e+00,0.000000000000000000e+00,1.393736592802952146e-08,9.434182324241646711e-09,4.998455047607421875e+00,1.636683382093906403e-02,-1.957814022898674011e-02
6.100000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.417518724622368609e-08,9.715715343361353007e-09,4.999160766601562500e+00,1.638381555676460266e-02,-1.954888738691806793e-02
6.200000000000000000e+01,6.099999904632568359e+00,0.000000000000000000e+00,1.441303787430570083e-08,1.000202054513010808e-08,4.999793052673339844e+00,1.639890484511852264e-02,-1.952145062386989594e-02
6.300000000000000000e+01,6.199999809265136719e+00,0.000000000000000000e+00,1.465091514774030657e-08,1.029309881772633162e-08,5.000357151031494141e+00,1.641227491199970245e-02,-1.949577406048774719e-02
6.400000000000000000e+01,6.300000190734863281e+00,0.000000000000000000e+00,1.488881817834908361e-08,1.058895193750686303e-08,5.000860214233398438e+00,1.642405055463314056e-02,-1.947185210883617401e-02
6.500000000000000000e+01,6.400000095367431641e+00,0.000000000000000000e+00,1.512674074888309406e-08,1.088957723993644322e-08,5.001306533813476562e+00,1.643445156514644623e-02,-1.944940909743309021e-02
6.600000000000000000e+01,6.500000000000000000e+00,0.000000000000000000e+00,1.536468197116391821e-08,1.119497472501507218e-08,5.001701354980468750e+00,1.644354499876499176e-02,-1.942860335111618042e-02
6.700000000000000000e+01,6.599999904632568359e+00,0.000000000000000000e+00,1.560263918065629696e-08,1.150514616909958932e-08,5.002049922943115234e+00,1.645147800445556641e-02,-1.940928958356380463e-02
6.800000000000000000e+01,6.699999809265136719e+00,0.000000000000000000e+00,1.584061060100339091e-08,1.182008979583315522e-08,5.002356052398681641e+00,1.645836979150772095e-02,-1.939139701426029205e-02
6.900000000000000000e+01,6.800000190734863281e+00,0.000000000000000000e+00,1.607859623220520007e-08,1.213980649339418960e-08,5.002623558044433594e+00,1.646429114043712616e-02,-1.937491260468959808e-02
7.000000000000000000e+01,6.900000095367431641e+00,0.000000000000000000e+00,1.631659252154804562e-08,1.246429448542585305e-08,5.002856731414794922e+00,1.646941527724266052e-02,-1.935955323278903961e-02
7.100000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.655459769267508818e-08,1.279355377192814558e-08,5.003058910369873047e+00,1.647376082837581635e-02,-1.934547163546085358e-02
7.200000000000000000e+01,7.099999904632568359e+00,0.000000000000000000e+00,1.679261174558632774e-08,1.312758346472264748e-08,5.003232955932617188e+00,1.647743210196495056e-02,-1.933252811431884766e-02
7.300000000000000000e+01,7.199999809265136719e+00,0.000000000000000000e+00,1.703063290392492490e-08,1.346638445198777845e-08,5.003381729125976562e+00,1.648050732910633087e-02,-1.932065188884735107e-02
7.400000000000000000e+01,7.300000190734863281e+00,0.000000000000000000e+00,1.726865939133404027e-08,1.380995673372353849e-08,5.003508567810058594e+00,1.648302190005779266e-02,-1.930983737111091614e-02
7.500000000000000000e+01,7.400000095367431641e+00,0.000000000000000000e+00,1.750669120781367383e-08,1.415829675721624881e-08,5.003614902496337891e+00,1.648511178791522980e-02,-1.929980702698230743e-02
7.600000000000000000e+01,7.500000000000000000e+00,0.000000000000000000e+00,1.774472657700698619e-08,1.451140541064432909e-08,5.003703594207763672e+00,1.648676209151744843e-02,-1.929072476923465729e-02
7.700000000000000000e+01,7.599999904632568359e+00,0.000000000000000000e+00,1.798276727527081675e-08,1.486928269400777936e-08,5.003776550292968750e+00,1.648804917931556702e-02,-1.928245835006237030e-02
7.800000000000000000e+01,7.699999809265136719e+00,0.000000000000000000e+00,1.822080797353464732e-08,1.523192771912817989e-08,5.003835201263427734e+00,1.648902148008346558e-02,-1.927495375275611877e-02
7.900000000000000000e+01,7.800000190734863281e+00,0.000000000000000000e+00,1.845885400086899608e-08,1.559934226236237009e-08,5.003881931304931641e+00,1.648968830704689026e-02,-1.926820911467075348e-02
8.000000000000000000e+01,7.900000095367431641e+00,0.000000000000000000e+00,1.869690002820334485e-08,1.597152099463983177e-08,5.003917694091796875e+00,1.649015955626964569e-02,-1.926196739077568054e-02
8.100000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.893494783189453301e-08,1.634846569231740432e-08,5.003943920135498047e+00,1.649040542542934418e-02,-1.925640553236007690e-02
8.200000000000000000e+01,8.100000381469726562e+00,0.000000000000000000e+00,1.917299741194256057e-08,1.673017990810876654e-08,5.003962516784667969e+00,1.649044081568717957e-02,-1.925145834684371948e-02
8.300000000000000000e+01,8.199999809265136719e+00,0.000000000000000000e+00,1.941104343927690934e-08,1.711665476022972143e-08,5.003973484039306641e+00,1.649040915071964264e-02,-1.924681104719638824e-02
8.400000000000000000e+01,8.300000190734863281e+00,0.000000000000000000e+00,1.964909479568177630e-08,1.750789735410762660e-08,5.003978729248046875e+00,1.649014279246330261e-02,-1.924291998147964478e-02
8.500000000000000000e+01,8.399999618530273438e+00,0.000000000000000000e+00,1.988714259937296447e-08,1.790390236067196383e-08,5.003978729248046875e+00,1.648988388478755951e-02,-1.923917233943939209e-02
8.600000000000000000e+01,8.500000000000000000e+00,0.000000000000000000e+00,2.012519217942099203e-08,1.830467333263641194e-08,5.003974437713623047e+00,1.648943871259689331e-02,-1.923611201345920563e-02
8.700000000000000000e+01,8.600000381469726562e+00,0.000000000000000000e+00,2.036324175946901960e-08,1.871021027000097092e-08,5.003966331481933594e+00,1.648896373808383942e-02,-1.923324167728424072e-02
8.800000000000000000e+01,8.699999809265136719e+00,0.000000000000000000e+00,2.060128778680336836e-08,1.912050429098144377e-08,5.003955364227294922e+00,1.648848876357078552e-02,-1.923056878149509430e-02
8.900000000000000000e+01,8.800000190734863281e+00,0.000000000000000000e+00,2.083933559049455653e-08,1.953556605371886690e-08,5.003942012786865234e+00,1.648786477744579315e-02,-1.922848261892795563e-02
9.000000000000000000e+01,8.899999618530273438e+00,0.000000000000000000e+00,2.107738161782890529e-08,1.995538845278588269e-08,5.003926753997802734e+00,1.648732274770736694e-02,-1.922637969255447388e-02
9.100000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,2.131542764516325406e-08,2.037997504089616996e-08,5.003909587860107422e+00,1.648665964603424072e-02,-1.922481693327426910e-02
9.200000000000000000e+01,9.100000381469726562e+00,0.000000000000000000e+00,2.155347367249760282e-08,2.080932404169288930e-08,5.003891468048095703e+00,1.648602448403835297e-02,-1.922330632805824280e-02
9.300000000000000000e+01,9.199999809265136719e+00,0.000000000000000000e+00,2.179151792347511218e-08,2.124343190246236190e-08,5.003872871398925781e+00,1.648543961346149445e-02,-1.922186464071273804e-02
9.400000000000000000e+01,9.300000190734863281e+00,0.000000000000000000e+00,2.202956217445262155e-08,2.168230395227510598e-08,5.003852844238281250e+00,1.648474857211112976e-02,-1.922089233994483948e-02
9.500000000000000000e+01,9.399999618530273438e+00,0.000000000000000000e+00,2.226760287271645211e-08,2.212593486206060334e-08,5.003833293914794922e+00,1.648417301476001740e-02,-1.921979524195194244e-02
9.600000000000000000e+01,9.500000000000000000e+00,0.000000000000000000e+00,2.250564534733712208e-08,2.257432996088937216e-08,5.003813743591308594e+00,1.648350991308689117e-02,-1.921913586556911469e-02
9.700000000000000000e+01,9.600000381469726562e+00,0.000000000000000000e+00,2.274368604560095264e-08,2.302748747240457305e-08,5.003793716430664062e+00,1.648290082812309265e-02,-1.921843737363815308e-02
9.800000000000000000e+01,9.699999809265136719e+00,0.000000000000000000e+00,2.298172319115110440e-08,2.348540029117884842e-08,5.003774642944335938e+00,1.648236252367496490e-02,-1.921772398054599762e-02
9.900000000000000000e+01,9.800000190734863281e+00,0.000000000000000000e+00,2.321976388941493497e-08,2.394807729899639526e-08,5.003755092620849609e+00,1.648173853754997253e-02,-1.921739988029003143e-02
1.000000000000000000e+02,9.899999618530273438e+00,0.000000000000000000e+00,2.345779925860824733e-08,2.441551139042985596e-08,5.003736972808837891e+00,1.648124493658542633e-02,-1.921688020229339600e-02
1.010000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,2.369583818051523849e-08,2.488770967090658814e-08,5.003718376159667969e+00,1.648067496716976166e-02,-1.921673305332660675e-02
1.020000000000000000e+02,1.010000038146972656e+01,0.000000000000000000e+00,2.393387532606539025e-08,2.536466858771291299e-08,5.003701210021972656e+00,1.648016646504402161e-02,-1.921649090945720673e-02
1.030000000000000000e+02,1.019999980926513672e+01,0.000000000000000000e+00,2.417190891890186322e-08,2.584638281177831232e-08,5.003684520721435547e+00,1.647973991930484772e-02,-1.921616680920124054e-02
1.040000000000000000e+02,1.030000019073486328e+01,0.000000000000000000e+00,2.440994428809517558e-08,2.633286300124382251e-08,5.003668308258056641e+00,1.647922769188880920e-02,-1.921620219945907593e-02
1.050000000000000000e+02,1.039999961853027344e+01,0.000000000000000000e+00,2.464797610457480914e-08,2.682409672161156777e-08,5.003653049468994141e+00,1.647885516285896301e-02,-1.921598054468631744e-02
1.060000000000000000e+02,1.050000000000000000e+01,0.000000000000000000e+00,2.488600969741128210e-08,2.732009463102258451e-08,5.003638267517089844e+00,1.647840067744255066e-02,-1.921610906720161438e-02
1.070000000000000000e+02,1.060000038146972656e+01,0.000000000000000000e+00,2.512404329024775507e-08,2.782085317676319391e-08,5.003624439239501953e+00,1.647801324725151062e-02,-1.921609230339527130e-02
1.080000000000000000e+02,1.069999980926513672e+01,0.000000000000000000e+00,2.536207333037054923e-08,2.832636702976287779e-08,5.003611564636230469e+00,1.647770777344703674e-02,-1.921596750617027283e-02
1.090000000000000000e+02,1.080000019073486328e+01,0.000000000000000000e+00,2.560010692320702219e-08,2.883664507180583314e-08,5.003599166870117188e+00,1.647731103003025055e-02,-1.921617053449153900e-02
1.100000000000000000e+02,1.089999961853027344e+01,0.000000000000000000e+00,2.583813518697297695e-08,2.935167664475102356e-08,5.003587722778320312e+00,1.647705584764480591e-02,-1.921609230339527130e-02
1.110000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,2.607616700345261052e-08,2.987147240673948545e-08,5.003576755523681641e+00,1.647671498358249664e-02,-1.921634003520011902e-02
1.120000000000000000e+02,1.110000038146972656e+01,0.000000000000000000e+00,2.631419704357540468e-08,3.039602702870070061e-08,5.003566265106201172e+00,1.647643558681011200e-02,-1.921642385423183441e-02
1.130000000000000000e+02,1.119999980926513672e+01,0.000000000000000000e+00,2.655222530734135944e-08,3.092533873427782964e-08,5.003557205200195312e+00,1.647623628377914429e-02,-1.921637915074825287e-02
1.140000000000000000e+02,1.130000019073486328e+01,0.000000000000000000e+00,2.679025534746415360e-08,3.145941462889823015e-08,5.003548145294189453e+00,1.647594198584556580e-02,-1.921664923429489136e-02
1.150000000000000000e+02,1.139999961853027344e+01,0.000000000000000000e+00,2.702828183487326896e-08,3.199824050170718692e-08,5.003540039062500000e+00,1.647578366100788116e-02,-1.921662129461765289e-02
1.160000000000000000e+02,1.150000000000000000e+01,0.000000000000000000e+00,2.726631187499606312e-08,3.254183411627309397e-08,5.003532409667968750e+00,1.647553592920303345e-02,-1.921690814197063446e-02
1.170000000000000000e+02,1.160000038146972656e+01,0.000000000000000000e+00,2.750434013876201789e-08,3.309018836716859369e-08,5.003525257110595703e+00,1.647534593939781189e-02,-1.921701990067958832e-02
1.180000000000000000e+02,1.169999980926513672e+01,0.000000000000000000e+00,2.774236484981429385e-08,3.364329259625264967e-08,5.003519058227539062e+00,1.647522859275341034e-02,-1.921699382364749908e-02
1.190000000000000000e+02,1.180000019073486328e+01,0.000000000000000000e+00,2.798039311358024861e-08,3.420116456709365593e-08,5.003512859344482422e+00,1.647501438856124878e-02,-1.921727322041988373e-02
1.200000000000000000e+02,1.189999961853027344e+01,0.000000000000000000e+00,2.821841960098936397e-08,3.476378651612321846e-08,5.003507137298583984e+00,1.647493056952953339e-02,-1.921725086867809296e-02
1.210000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,2.845644608839847933e-08,3.533117620690973126e-08,5.003501892089843750e+00,1.647475361824035645e-02,-1.921753399074077606e-02
1.220000000000000000e+02,1.210000038146972656e+01,0.000000000000000000e+00,2.869447435216443409e-08,3.590332298131215794e-08,5.003497600555419922e+00,1.647462882101535797e-02,-1.921764016151428223e-02
1.230000000000000000e+02,1.219999980926513672e+01,0.000000000000000000e+00,2.893249906321671006e-08,3.648022683933049848e-08,5.003493309020996094e+00,1.647457480430603027e-02,-1.921760290861129761e-02
1.240000000000000000e+02,1.230000019073486328e+01,0.000000000000000000e+00,2.917052555062582542e-08,3.706189133367843169e-08,5.003489017486572266e+00,1.647441834211349487e-02,-1.921786926686763763e-02
1.250000000000000000e+02,1.239999961853027344e+01,0.000000000000000000e+00,2.940855026167810138e-08,3.764831291164227878e-08,5.003485679626464844e+00,1.647438667714595795e-02,-1.921782828867435455e-02
1.260000000000000000e+02,1.250000000000000000e+01,0.000000000000000000e+00,2.964657674908721674e-08,3.823949512593571853e-08,5.003482341766357422e+00,1.647426001727581024e-02,-1.921809464693069458e-02
1.270000000000000000e+02,1.260000038146972656e+01,0.000000000000000000e+00,2.988460323649633210e-08,3.883544152927242976e-08,5.003479480743408203e+00,1.647418178617954254e-02,-1.921817846596240997e-02
1.280000000000000000e+02,1.269999980926513672e+01,0.000000000000000000e+00,3.012262794754860806e-08,3.943613791079769726e-08,5.003477096557617188e+00,1.647417061030864716e-02,-1.921812072396278381e-02
1.290000000000000000e+02,1.280000019073486328e+01,0.000000000000000000e+00,3.036065265860088402e-08,4.004159848136623623e-08,5.003474712371826172e+00,1.647405326366424561e-02,-1.921836286783218384e-02
1.300000000000000000e+02,1.289999961853027344e+01,0.000000000000000000e+00,3.059867736965315999e-08,4.065181258283701027e-08,5.003472805023193359e+00,1.647405885159969330e-02,-1.921829953789710999e-02
1.310000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,3.083670563341911475e-08,4.126679087335105578e-08,5.003470420837402344e+00,1.647396571934223175e-02,-1.921854168176651001e-02
1.320000000000000000e+02,1.310000038146972656e+01,0.000000000000000000e+00,3.107473034447139071e-08,4.188652980019469396e-08,5.003468990325927734e+00,1.647391915321350098e-02,-1.921860314905643463e-02
1.330000000000000000e+02,1.319999980926513672e+01,0.000000000000000000e+00,3.131275505552366667e-08,4.251102225794056721e-08,5.003467559814453125e+00,1.647393591701984406e-02,-1.921852119266986847e-02
1.340000000000000000e+02,1.330000019073486328e+01,0.000000000000000000e+00,3.155077976657594263e-08,4.314027890472971194e-08,5.003466129302978516e+00,1.647384464740753174e-02,-1.921874098479747772e-02
1.350000000000000000e+02,1.339999961853027344e+01,0.000000000000000000e+00,3.178880447762821859e-08,4.377428908242109173e-08,5.003465175628662109e+00,1.647387444972991943e-02,-1.921865530312061310e-02
1.360000000000000000e+02,1.350000000000000000e+01,0.000000000000000000e+00,3.202682918868049455e-08,4.441306344915574300e-08,5.003463745117187500e+00,1.647380180656909943e-02,-1.921887695789337158e-02
1.370000000000000000e+02,1.360000038146972656e+01,0.000000000000000000e+00,3.226485389973277051e-08,4.505659845221998694e-08,5.003462791442871094e+00,1.647377572953701019e-02,-1.921891793608665466e-02
1.380000000000000000e+02,1.369999980926513672e+01,0.000000000000000000e+00,3.250287861078504648e-08,4.570488698618646595e-08,5.003462314605712891e+00,1.647381111979484558e-02,-1.921881735324859619e-02
1.390000000000000000e+02,1.380000019073486328e+01,0.000000000000000000e+00,3.274090332183732244e-08,4.635793970919621643e-08,5.003461360931396484e+00,1.647373661398887634e-02,-1.921902038156986237e-02
1.400000000000000000e+02,1.389999961853027344e+01,0.000000000000000000e+00,3.297892803288959840e-08,4.701574241039452318e-08,5.003460884094238281e+00,1.647378131747245789e-02,-1.921891607344150543e-02
1.410000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,3.321695274394187436e-08,4.767831285334978020e-08,5.003460407257080078e+00,1.647372357547283173e-02,-1.921912096440792084e-02
1.420000000000000000e+02,1.410000038146972656e+01,0.000000000000000000e+00,3.345497745499415032e-08,4.834564393263462989e-08,5.003459930419921875e+00,1.647371053695678711e-02,-1.921914704144001007e-02
1.430000000000000000e+02,1.419999980926513672e+01,0.000000000000000000e+00,3.369300216604642628e-08,4.901772499010803585e-08,5.003459453582763672e+00,1.647375524044036865e-02,-1.921903342008590698e-02
